課題ID,カテゴリ,サブカテゴリ,課題名,計算内容,入力変数,出力形式,備考
HZC-01,HZ創出,構造設計,浮遊人工惑星の最小質量と重力生成,直径D_km 回転周期T_sec 目標重力g_target,D[km] T[sec] g_target[m/s²],必要質量M_kg 構造材強度σ_req[Pa],カーボンナノチューブ構造を仮定
HZC-02,HZ創出,構造設計,人工惑星シェル厚の最適化,直径D_km 内部気圧P_atm 放射線遮蔽要件R_shield,D[km] P_atm[atm] R_shield[g/cm²],シェル厚d_cm 総質量M_shell[kg],遮蔽材は水氷＋レゴリス
HZC-03,HZ創出,大気工学,閉鎖生態系の最小大気量と組成,収容人数N_people 酸素消費率O2_rate 二酸化炭素排出率CO2_rate,N[人] O2_rate[L/h] CO2_rate[L/h],必要大気量V_atm[m³] 酸素補充量O2_supply[kg/日],植物による光合成循環を前提
HZC-04,HZ創出,大気工学,人工重力下での大気保持条件,重力g 温度T 分子量M,g[m/s²] T[K] M[g/mol],大気散逸率R_loss[kg/s] 補充必要量M_fill[kg/年],太陽風・放射線による散逸を考慮
HZC-05,HZ創出,エネルギー,核融合炉の必要出力と燃料消費,収容人数N 1人あたり消費電力P_person,N[人] P_person[kW],必要出力P_total[GW] 燃料消費量F_kg[kg/年],D-He3核融合を仮定
HZC-06,HZ創出,エネルギー,太陽光発電の効率と必要面積,恒星光度L 距離d パネル効率η,L[L_sun] d[AU] η[%],発電量P_gen[GW] 必要面積A_panel[km²],各HZの恒星スペクトルに応じた効率補正
HZC-07,HZ創出,生態系,閉鎖生態系の最小種数と安定性,閉鎖容積V 栄養循環速度R_nutrient,V[m³] R_nutrient[kg/日],最小種数N_species 崩壊確率P_collapse[%/年],生物多様性と生態系安定性の関係式
HZC-08,HZ創出,生態系,食料生産に必要な農地面積,収容人数N 1人あたり必要カロリーC_req,N[人] C_req[kcal/日],必要農地面積A_farm[km²] 水使用量W_water[トン/日],水耕栽培・垂直農法を前提
HZC-09,HZ創出,材料,小惑星からの資源採掘効率,小惑星質量M_asteroid 採掘速度R_mining,M[kg] R_mining[kg/日],採掘可能量M_usable[kg] 採掘期間T_years[年],自己複製ロボットによる採掘を前提
HZC-10,HZ創出,材料,人工惑星建設に必要な総資源量,直径D_km シェル厚d_cm 内部構造比率R_struct,D[km] d[cm] R_struct[%],総質量M_total[kg] 資源別必要量（鉄・炭素・水等）[kg],太陽系内の小惑星帯からの調達を前提
HZC-11,HZ創出,熱制御,人工惑星の熱平衡温度計算,恒星光度L 距離d アルベドA,L[L_sun] d[AU] A[0-1],平衡温度T_eq[K] 必要冷却能力Q_cool[GW],内部発熱（機器・人体）も考慮
HZC-12,HZ創出,熱制御,廃熱放射パネルの必要面積,廃熱量Q_waste 放射温度T_rad 放射率ε,Q_waste[GW] T_rad[K] ε,必要面積A_rad[km²],宇宙空間への放射冷却を前提
HZC-13,HZ創出,磁場,人工磁場シールドの必要強度とエネルギー,太陽風圧P_wind 遮蔽半径R_shield,P_wind[Pa] R_shield[m],必要磁場B_req[T] 消費電力P_mag[MW],超伝導電磁石による能動シールド
HZC-14,HZ創出,磁場,放射線遮蔽に必要な水氷厚,入射放射線エネルギーE_rad 遮蔽率R_shield,E_rad[MeV] R_shield[%],必要厚d_ice[m] 質量M_ice[kg],銀河宇宙線・太陽フレア双方を考慮
HZC-15,HZ創出,軌道制御,人工惑星の軌道維持と姿勢制御,太陽風圧P_wind 重力擾乱Δg,P_wind[Pa] Δg[m/s²],必要推力F_thrust[N] 燃料消費量F_fuel[kg/年],イオンエンジンによる定常制御
HZC-16,HZ創出,軌道制御,複数人工HZ間のワームホールネットワーク最適配置,HZ数N 平均距離d_avg 通信需要C_req,N[基] d_avg[ly] C_req[bps],最適ネットワークトポロジー 総ワームホール数N_wh,スター型 vs メッシュ型の比較
HZC-17,HZ創出,社会,人口収容力と社会構造の最適化,収容人数N 年齢構成A_dist 資源消費R_person,N[人] A_dist[%] R_person[kg/年],最大持続可能人口N_max 必要資源備蓄量S_req[kg],クローンPhysicalAIと生身人間の比率を変数に
HZC-18,HZ創出,社会,閉鎖社会における心理的安定性評価,閉鎖期間T_years 人口N 多様性指数D,T[年] N[人] D[0-1],社会崩壊確率P_collapse[%] 介入頻度F_int[回/年],過去の閉鎖実験（バイオスフィア2等）のデータを参照
HZC-19,HZ創出,コスト,人工HZ1基あたりの建設コスト試算,直径D_km 収容人数N 建設期間T_years,D[km] N[人] T[年],総コストC_total[USD] 1人あたりコストC_per_person[USD],自己複製ロボットによる建設でコスト低減を見込む
HZC-20,HZ創出,コスト,天然HZ開拓 vs 人工HZ創出の費用対効果比較,天然HZコストC_natural 人工HZコストC_artificial 生存確率P_surv,C_natural[USD] C_artificial[USD] P_surv[%],最適投資配分比R_opt,100年後の人口維持数を指標に

