項目,水星ダイソン環,プロキシマb地表ダイソン環,地平面（BH）ダイソン環
場所,水星軌道（太陽周回）,惑星表面,BHの事象の地平線直上
重力,0.38G,0.4G,10^12G以上（潮汐力）
温度,-180℃〜+430℃,-100℃〜+50℃,数百万℃（降着円盤）
放射線,太陽風,恒星フレア,ジェット・X線・ガンマ線
建設方法,宇宙空間で組立,地表に敷設,不可能に近い
材料,太陽電池パネル,太陽電池パネル,既知の材料では不可能
,,,
### 地平面ダイソン環建設の至難な点トップ10,,,
,,,
ランク,難関,内容,致命的か
1,潮汐力,BHの事象の地平線近くでは、物体の前後で10^12G以上の重力差が発生し、構造物が引き裂かれる,◎ 致命的
2,超高温度,降着円盤の温度は数百万℃。既知の材料は瞬時に蒸発する,◎ 致命的
3,放射線,BHからのX線・ガンマ線で電子機器が即死。遮蔽も不可能,◎ 致命的
4,重力レンズ,強重力場で光の経路が曲げられ、エネルギーの集光が困難,○ 致命的
5,軌道維持,BHの周回軌道はISCO（最小安定軌道）より内側では維持できない,◎ 致命的
6,材料供給,建設資材をBH近くに運ぶだけで、膨大なエネルギーが必要,○ 致命的
7,エネルギー抽出,ペンローズ過程は理論上可能だが、実用化された例はない,△ 非致命的
8,通信遅延,BH近くでは強い重力による時間の遅れが発生する,△ 非致命的
9,稼働後の保守,構造物の一部が劣化しても、近づいて修理することが不可能,○ 致命的
10,崩壊リスク,構造物の一部が崩れてBHに落下すると、連鎖的に全体が崩壊する,◎ 致命的
