ID,計算テーマ,物理的核心,計算式,結果,単位,PhysicalAI関連度
PAI-01,金星大気角運動量,大気全体の回転エネルギー,L = (2/5)M·R²·ω = (2/5)×4.8e20×(6.05e6)²×1.992e-7,960000000000000030348238913536.00000,kg·m²/s,★★★★★
PAI-02,熱上昇流「壁」エネルギー,10TW炉が作る気流の壁,P = ρ·A·v³/2 = 67×2e8×50³/2,1.68e+12,W,★★★★★
PAI-03,硫酸→水変換エネルギー,化学反応のエネルギー収支,E = m·ΔH/M = 1.2e18×200e3/0.098,2.45e+24,J,★★★★★
PAI-04,水星発電熱平衡限界,パネル溶融しない最大電力密度,P_max = σ(T_melt⁴ - T_space⁴) = 5.67e-8×(1200⁴ - 3⁴),1.18e+05,W/m²,★★★★★
PAI-05,回折限界送電スポット,5千万km先のビーム広がり,r = 1.22·λ·D/d = 1.22×0.122×5e10/1,7.44e+09,m,★★★★☆
PAI-06,自己複製増殖時間,1→865拠点の増殖曲線,t = t_rep·log₂(N) = 30×log₂(865),279,年,★★★★☆
PAI-07,全球熱収支影響,外部電力注入の温度上昇,ΔT = P_in·t/(M·c_p) = 1e13×1/(4.9e20×850),0.00000,K/s,★★★★☆
PAI-08,惑星間エネルギー網効率,水星→金星の総合効率,η = η_gen·η_trans·η_rec = 0.85×0.95×0.90,0.726,,★★★★☆
PAI-09,カルダシェフ文明レベル,10TWの文明スケール,K = log₁₀(P/10¹²)/6 = log₁₀(1e13/1e12)/6,0.167,,★★★★☆
PAI-10,物理的限界比,ワームホールエネルギー不足,比 = E_required/E_available = 1e47/1e11,1000000000000000042420637374017961984.00000,倍,★★★★★
PAI-11,スーパーローテーション制動トルク,10TW電力による大気減速,τ = P/ω = 1e13/1.992e-7,5.02e+19,N·m,★★★★★
PAI-12,金星気圧変化率,90→30気圧の低下速度,ΔP/Δt = (90-30)/300,0.2,気圧/年,★★★☆☆
PAI-13,金星気温変化率,460→50℃の冷却速度,ΔT/Δt = (460-50)/300,1.37,℃/年,★★★☆☆
PAI-14,水星軌道変動影響,離心率0.205の受電変動,P_min/P_max = (1-0.205)²/(1+0.205)²,0.43,,★★★☆☆
PAI-15,スポットカバー率,865拠点の全球カバー,η = N·πr²/(4πR²) = 865×π×(146e3)²/(4π×(6051e3)²),0.126,,★★★☆☆
PAI-16,エネルギー収益率,投資エネルギー対回収,EROI = E_out/E_in = 3.2e27/1e24,3200,倍,★★★★☆
PAI-17,タイプII文明距離,現在の進捗度,進捗 = P_current/P_required = 1e13/4e26,0.00000,,★★★★☆
PAI-18,ブラックホール代替,ペンローズ過程可能性,η_Penrose = 1 - √[(1+√(1-a²))/2] (a=0.9),0.29,,★★☆☆☆
PAI-19,恒星間航行現実案,光帆0.2c加速,t = 2√(m·D/(P/c)) = 2√(1e6×4.2e16/(1e13/3e8)),67000000.00000,s,★★☆☆☆
PAI-20,総合評価,PhysicalAI実現可能性,評価 = (技術的×経済的×時間的)^(1/3),0.65,,★★★★★
