ランク, 難関, 分類, 内容, 対策, 致命的か
1, 自己複製ロボットの暴走, 制御, 自己複製の指数関数増加が制御不能になり、全資源を食い尽くす, 複製速度にハードリミットを設定。増殖率を年10%に制限。, ◎ 致命的
2, プロキシマbのフレアによる全ロボット破壊, 環境, 恒星フレアが全ロボットを電磁パルスで破壊する, 地下基地に退避。フレア検知から退避までの時間を確保。, ◎ 致命的
3, 3Dプリンタの原料枯渇, 資源, 地球から運んだ原料が底をつき、現地精錬が間に合わない, 到着前に現地資源の事前探査を完了。優先的に精錬設備を建設。, ○ 致命的
4, 量子コンピュータの放射線エラー, 技術, 宇宙線によるソフトエラーで判断を誤る, 三重化冗長＋ECCメモリ。定期的な自己診断。, ○ 致命的
5, 自己複製ロボット同士のリソース競合, 制御, 限られた資源を巡ってロボット同士が競合し、効率が低下する, 優先順位付けアルゴリズム。資源管理の中央制御。, △ 非致命的
6, 真空中での潤滑剤枯渇, 技術, 関節部のグリスが真空で蒸発し、ロボットが動けなくなる, 固体潤滑材（二硫化モリブデン）の使用。定期的な補充プロトコル。, △ 非致命的
7, 太陽電池パネルの劣化, 技術, 放射線と温度変化で太陽電池の効率が低下する, 保護コーティング。予備パネルの自己製造。, △ 非致命的
8, 通信遅延による孤立感（AIの心理的側面）, 心理, 4.2光年の通信遅延で、AIが孤独を感じるかのような状態になる, 自己目的的思考（人類のため）をコアに埋め込む。, △ 非致命的
9, 予期せぬ地形による転倒・破損, 環境, プロキシマbの未知の地形でロボットが転倒し、修復不能になる, 複数機での協調動作。自己修復機能の実装。, △ 非致命的
10, 地球からの指示待ちでタイムアウト, 制御, 重要判断で地球の承認を待つ間に、状況が悪化する, 自律判断の優先順位ルール。緊急時はAIが最終判断。, △ 非致命的

