Task ID, 計算テーマ, ツール, 物理コア/結合バトン, ステータス
C101, 大型筐体構造解析（応力・歪み）, Python, アルミフレーム/カーボン複合材の強度計算, 未着手
C102, 関節減速機トルク設計（ハーモニックドライブ）, Python, HDSI型減速機の許容トルク/寿命計算, 未着手
C103, サーボモータ選定と熱設計, Python, 安川/ファナック級サーボの連続定格/発熱, 未着手
C104, 軸受寿命計算（真空/低温環境）, Python, NSK/NTN真空用軸受のL10寿命, 未着手
C105, 自己複製ロボットの関節摩耗予測, Python, 真空中でのグリス劣化モデル, 未着手
C106, 3Dプリンタ出力可能な構造部材の最適化, Python, 積層造形の強度異方性/充填率, 未着手
C107, 大型脚部の油圧vs電動トルク比較, Python, 油圧シリンダ vs 電動サーボの出力密度, 未着手
C108, 真空シール設計（Oリング/メタルシール）, Python, アウトガス量と漏れ率の計算, 未着手
C109, 放射線硬化回路設計, Python, 宇宙線によるソフトエラー率推定, 未着手
C110, 熱制御（ヒーター/放熱設計）, Python, プロキシマb昼側+50℃〜夜側-100℃の熱収支, 未着手

