工程, 自動化レベル, 使用ツール例, 備考
キャラクターデザイン, ◎ 完全自動, Stable Diffusion / Midjourney / DALL-E 3, プロンプトで指示するだけ
背景生成, ◎ 完全自動, Stable Diffusion / Midjourney, プロキシマbの風景も生成可能
コマ割り, ○ 半自動, Python + ComfyUI, テキストベースのコマ割りを画像に変換
輪郭線画, ○ 半自動, ControlNet (Canny / Lineart), 写真や3Dモデルから線画を抽出
着色, ◎ 完全自動, ControlNet + LoRA, 線画から自動着色
セリフ入れ, ○ 半自動, Python + PIL, 吹き出しとセリフの配置を自動化
数値データ表示, ◎ 完全自動, Python + matplotlib, グラフを生成して漫画内に配置
```

### 未来徹駆博士のワークフロー（完全自動化案）

```csv
ステップ, 内容, ツール, 所要時間
1. プロット生成, Pythonで章構成・セリフを生成, Python + 時超えケンタAI, 10分
2. コマ割り生成, テキストベースのコマ割りをPythonで出力, Python, 5分
3. キャラクター生成, 時超えケンタ・人間のキャラクターをAI生成, Midjourney, 30分
4. 背景生成, プロキシマb・BH・ダイソン環の背景を生成, Midjourney, 30分
5. 線画生成, ControlNetで輪郭線画を抽出, ComfyUI + ControlNet, 10分/ページ
6. 着色, 線画から自動着色, ComfyUI + LoRA, 5分/ページ
7. セリフ配置, Pythonで吹き出しとセリフを配置, Python + PIL, 2分/ページ
8. 数値データ挿入, matplotlibのグラフを配置, Python, 2分/ページ
9. 校正, 全体の整合性チェック, 人間（未来徹駆博士）, 30分

