ID,PhysicalAI身体機能,物理的核心,計算式,目標値,単位,重要性
PAI-01,惑星大気操作アーム,角運動量制御トルク,τ = P/ω,5.02e19,N·m,★★★★★
PAI-02,熱上昇流生成ノズル,気流壁出力,P = ρAv³/2,1.68e12,W,★★★★★
PAI-03,自己複製工場,増殖時間,t = t_rep·log₂(N),279,年,★★★★☆
PAI-04,大気回転制動装置,必要トルク,τ = P/ω,5.02e19,N·m,★★★★★
PAI-05,井上尚弥級パンチアーム,衝撃力,F = m·Δv/Δt,5000,N,★★★☆☆
PAI-06,大谷翔平級投球アーム,初速最適化,v₀ = √(g·R/sin2θ),165,km/h,★★★☆☆
PAI-07,大谷翔平級打撃アーム,バット速度,ω = √(τ/I),45,m/s,★★★☆☆
PAI-08,フルマラソン脚部,エネルギー密度,ρ = E/V,500,Wh/kg,★★★☆☆
PAI-09,山岳マラソン脚部,登坂能力,P = mg·v·sinθ,500,W,★★★☆☆
PAI-10,トライアスロン統合,水陸両用,F_b = ρ·g·V,1.5,m/s,★★★☆☆
PAI-11,潜水機能胴体,耐圧設計,σ = ρ·g·h,1e7,Pa,★★★☆☆
PAI-12,硫酸海耐性胴体,腐食耐性,腐食率 < 0.1,mm/年,★★☆☆☆
PAI-13,跳躍脚部,跳躍高さ,h = v₀²/(2g),2.5,m,★★☆☆☆
PAI-14,重量挙げアーム,最大力,F = m·a,500,kg,★★★☆☆
PAI-15,平衡制御脚部,倒立振子,τ = I·α,100,N·m,★★★☆☆
PAI-16,エネルギー送信ビーム,回折限界スポット径,r = 1.22λD/d,7.44e9,m,★★★★☆
PAI-17,惑星間移動推進器,光帆加速時間,t = 2√(mD/(P/c)),6.7e7,s,★★☆☆☆
PAI-18,把持ハンド,把持力,F = μ·N,1000,N,★★★☆☆
PAI-19,視覚センサー,解像度限界,θ = 1.22·λ/D,0.0001,rad,★★★☆☆
PAI-20,総合身体能力,多機能統合,評価 = Π(機能_i)^(1/n),0.75,,★★★★☆

