課題ID,カテゴリ,核心課題,計算内容,連成の必要性,緊急度,想定解決年
BIO-501,サイボーグ化,脳-機械インターフェース生着率,ニューロンと電極の生着確率、信号伝達効率,必須,高,2040
BIO-502,臓器置換,異種臓器拒絶反応確率,豚臓器の免疫拒絶確率、免疫抑制剤最適化,必須,高,2035
BIO-503,感覚置換,センサー-神経接続成功率,人工センサーと神経系の統合確率,必須,高,2045
BIO-504,宇宙適応,宇宙環境耐性遺伝子発現率,放射線耐性・低重力適応遺伝子の活性化確率,必須,高,2050
BIO-505,光合成機能,ヒト光合成効率計算,葉緑体導入によるエネルギー生産効率,必須,中,2060
BIO-506,代謝改変,光合成-従来代謝統合率,光合成と従来代謝のエネルギー配分最適化,必須,中,2065
BIO-507,老化抑制,細胞老化回避確率,テロメア延長・細胞修復機構の持続確率,必須,高,2030
BIO-508,記憶転送,脳記憶デジタル化成功率,長期記憶の完全転送・再構築確率,必須,中,2070
BIO-509,意識連続性,サイボーグ移行後アイデンティティ保存率,自我の連続性を保証する確率,解析,高,2075
BIO-510,集団適応,宇宙コロニー最小遺伝的多様性,生存に必要な最小個体数・遺伝子多様性,必須,中,2080
BIO-511,生殖改変,宇宙環境下生殖成功率,低重力・放射線下での正常発生確率,必須,中,2090
BIO-512,生態系構築,閉鎖宇宙生態系持続確率,完全閉鎖系での物質循環持続時間,必須,高,2060
BIO-513,エネルギー,光合成依存エネルギー自給率,光合成による生命維持エネルギー割合,必須,中,2065
BIO-514,移動手段,ワームホール通過生体耐性確率,エキゾチック物質通過時の生体生存率,必須,低,2100
BIO-515,時間拡張,相対論的時間遅延適応確率,光速近傍移動時の生理的適応確率,解析,低,2110
BIO-516,情報生命,完全デジタル生命体実現確率,生体情報の完全デジタル化・再現確率,必須,中,2120
BIO-517,種の保存,地球外生命バックアップ確率,人類情報の地球外保存・復元確率,必須,高,2050
BIO-518,倫理的閾値,人間性保持限界値,どこまで改造しても「人間」と言えるかの定量化,解析,高,2040
BIO-519,コスト,サイボーグ化経済的実現性,全人類サイボーグ化に必要な資源・エネルギー,必須,中,2080
BIO-520,社会構造,不老社会の持続可能性,人口増加・資源消費の数理モデル,必須,高,2070

