AI_ID,AI名称,モジュールID,モジュール名称,計算内容,ツール,入力ファイル,出力ファイル,連成先モジュール,推定工数(人時)
CX-AI-01,エネルギー収支最適化AI,CX-AI-01-M1,エネルギー保存式導出,多エネルギー源の連立方程式記号導出,Maxima,,CX-AI-01-M1_eq.txt,CX-AI-01-M3,4
CX-AI-01,エネルギー収支最適化AI,CX-AI-01-M2,効率温度依存性,貯蔵・変換効率の温度依存関数導出,Maxima,,CX-AI-01-M2_efficiency.txt,CX-AI-01-M4,3
CX-AI-01,エネルギー収支最適化AI,CX-AI-01-M3,マルチエージェント資源配分,金星・恒星間・ワームホール間のエネルギー配分シミュ,Python,CX-AI-01-M1_eq.txt,CX-AI-01-M3_allocation.csv,CX-AI-01-M5,18
CX-AI-01,エネルギー収支最適化AI,CX-AI-01-M4,リアルタイム需給制御,モデル予測制御による動的バランス制御,Python,CX-AI-01-M2_efficiency.txt,CX-AI-01-M4_control.pkl,CX-AI-01-M5,15
CX-AI-01,エネルギー収支最適化AI,CX-AI-01-M5,統合最適化評価,全システムのエネルギー収支評価レポート生成,Python,CX-AI-01-M3_allocation.csv;CX-AI-01-M4_control.pkl,CX-AI-01-M5_report.pdf,,10
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M1,ベイズ更新式導出,パラメータ推定のベイズ更新式記号導出,Maxima,,CX-AI-02-M1_bayes.txt,CX-AI-02-M3,5
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M2,モデル選択基準,赤池情報量基準(AIC)・ベイズ情報量基準(BIC)の理論計算,Maxima,,CX-AI-02-M2_criteria.txt,CX-AI-02-M4,4
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M3,異常検知アルゴリズム,LSTM-Autoencoderによる時系列異常検知,Python,CX-AI-02-M1_bayes.txt,CX-AI-02-M3_anomaly.csv,CX-AI-02-M5,20
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M4,パラメータ自動調整,勾配法によるモデルパラメータ最適化,Python,CX-AI-02-M2_criteria.txt,CX-AI-02-M4_params.pkl,CX-AI-02-M5,16
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M5,モデル信頼性評価,実測データとの比較による信頼性スコア計算,Python,CX-AI-02-M3_anomaly.csv;CX-AI-02-M4_params.pkl,CX-AI-02-M5_reliability.png,CX-AI-02-M6,12
CX-AI-02,物理モデル検証・更新AI,CX-AI-02-M6,自動修正提案,モデル不整合に対する修正案生成,Python,CX-AI-02-M5_reliability.png,CX-AI-02-M6_suggestions.txt,,8
CX-AI-03,災害・特異点予測AI,CX-AI-03-M1,非線形システム解析,Lyapunov指数・次元の記号計算（線形近似）,Maxima,,CX-AI-03-M1_lyapunov.txt,CX-AI-03-M3,6
CX-AI-03,災害・特異点予測AI,CX-AI-03-M2,分岐条件式,分岐点(bifurcation)の存在条件導出,Maxima,,CX-AI-03-M2_bifurcation.txt,CX-AI-03-M4,5
CX-AI-03,災害・特異点予測AI,CX-AI-03-M3,特異点発生確率,大規模シミュレーションによるカオス・特異点確率評価,Python,CX-AI-03-M1_lyapunov.txt,CX-AI-03-M3_probability.csv,CX-AI-03-M5,25
CX-AI-03,災害・特異点予測AI,CX-AI-03-M4,リアルタイム監視,システム状態の連続監視と異常検出,Python,CX-AI-03-M2_bifurcation.txt,CX-AI-03-M4_monitoring.csv,CX-AI-03-M5,18
CX-AI-03,災害・特異点予測AI,CX-AI-03-M5,回避マニューバ生成,強化学習による最適回避策生成,Python,CX-AI-03-M3_probability.csv;CX-AI-03-M4_monitoring.csv,CX-AI-03-M5_maneuvers.pkl,CX-AI-03-M6,22
CX-AI-03,災害・特異点予測AI,CX-AI-03-M6,リスク評価統合,全シリーズのリスク統合評価マップ生成,Python,CX-AI-03-M5_maneuvers.pkl,CX-AI-03-M6_riskmap.png,CX-AI-03-M7,15
CX-AI-03,災害・特異点予測AI,CX-AI-03-M7,フェイルセーフ設計,バックアップシステム起動ロジック最適化,Python,CX-AI-03-M6_riskmap.png,CX-AI-03-M7_failsafe.txt,,12

