カテゴリ,課題ID,課題名,計算内容,数式/アルゴリズム,Maximaでの解法,重要度,緊急度,備考
需要予測,DEM-001,時間帯別需要予測,過去の配車データから時間帯別の需要を予測,時系列分析(ARIMA/LSTM),solve/optimize,高,高,配車最適化の入力
需要予測,DEM-002,イベント需要スパイク予測,コンサート/スポーツイベント後の需要急増を予測,ポアソン回帰,integrate,中,中,イベント情報との連携が必要
需要予測,DEM-003,天候影響予測,降雨/降雪時の需要変化を予測,重回帰分析,lsquares,中,中,気象データ連携
配車最適化,DSP-001,リアルタイム配車最適化,複数車両への配車割り当てを最適化,ハンガリアン法/整数計画法,lp_maximize,高,高,NP困難問題
配車最適化,DSP-002,マッチング最適化,乗客と車両の最適マッチング,割当問題(2部グラフ),optimize,高,高,待ち時間最小化
配車最適化,DSP-003,空車回送最適化,需要の高いエリアへの空車回送ルート,配送計画問題(VRP),solve,中,中,燃料消費削減
ルート計画,RTE-001,複数乗客同乗最適化,複数乗客の乗降順序を最適化,巡回セールスマン問題(TSP),optimize,高,高,乗車時間制約あり
ルート計画,RTE-002,動的ルート再計算,渋滞/事故時のルート再計算,ダイクストラ法/A*アルゴリズム,最短経路,高,高,リアルタイム処理
ルート計画,RTE-003,充電ステーション最適配置,EV充電ステーションの最適配置,施設配置問題(p-median),solve,中,中,長期的計画
価格設定,PRC-001,ダイナミックプライシング,需要と供給に応じた動的価格設定,需給バランス最適化,optimize,高,高,需要弾力性モデル
価格設定,PRC-002,サージプライシング最適化,ピーク時の価格上昇率の最適化,最適制御問題,solve,中,中,ユーザー離脱率考慮
価格設定,PRC-003,割引クーポン最適化,ユーザー別の最適割引率,セグメンテーション分析,optimize,低,低,マーケティング施策
車両管理,VHC-001,EVバッテリー劣化予測,バッテリー劣化に基づく交換時期予測,劣化曲線フィッティング,lsquares,高,中,長期的コスト管理
車両管理,VHC-002,充電スケジュール最適化,電力料金が安い時間帯への充電最適化,線形計画法,lp_maximize,高,高,電力市場連携
車両管理,VHC-003,車両メンテナンス予測,故障予測に基づくメンテナンス計画,生存分析(カプランマイヤー),integrate,中,中,予防保全
交通流制御,TRF-001,信号最適制御,交通量に応じた信号タイミング最適化,最適制御問題,solve,高,高,都市全体の最適化
交通流制御,TRF-002,渋滞予測・回避,渋滞発生の予測と回避ルート提案,流体近似モデル,integrate,中,中,リアルタイム予測
交通流制御,TRF-003,優先車線割り当て,自動運転車専用レーンの動的割り当て,ゲーム理論,optimize,低,中,政策判断
エネルギー管理,ENG-001,V2G最適化,車両から電力網への電力供給最適化,双方向最適化問題,lp_maximize,高,中,電力網安定化
エネルギー管理,ENG-002,再生可能エネルギー連携,太陽光/風力発電との連携最適化,確率的最適化,optimize,中,中,天候依存
エネルギー管理,ENG-003,車両群エネルギー管理,複数EVのエネルギー需給バランス,マルチエージェント最適化,solve,中,低,大規模システム
安全性,SAF-001,衝突回避アルゴリズム,歩行者/他車両との衝突回避,モデル予測制御(MPC),solve,高,高,安全最優先
安全性,SAF-002,リスク評価,走行環境のリスクスコア計算,ベイズ推定,integrate,高,高,リアルタイム評価
安全性,SAF-003,異常検知,センサーデータからの異常検知,異常検知アルゴリズム(OCSVM),solve,中,高,セキュリティ
データ管理,DAT-001,センサーデータ融合,カメラ/LiDAR/レーダーのデータ統合,カルマンフィルタ,integrate,高,高,高精度位置推定
データ管理,DAT-002,地図データ更新,高精度地図のリアルタイム更新,SLAMアルゴリズム,solve,中,中,クラウド連携
データ管理,DAT-003,プライバシー保護,位置情報の匿名化処理,差分プライバシー,optimize,中,高,法規制対応
シミュレーション,SIM-001,交通流シミュレーション,自動運転車混在時の交通流予測,セルオートマトン/流体モデル,integrate,高,中,政策評価用
シミュレーション,SIM-002,ドライバー行動モデル,人間ドライバーと自動運転の混在挙動,エージェントベースシミュレーション,solve,中,中,複雑系
シミュレーション,SIM-003,シナリオベーステスト,自動運転システムの安全性検証,モンテカルロシミュレーション,integrate,高,高,規制要件
ビジネス最適化,BIZ-001,フリート規模最適化,需要に対する最適な車両台数,待ち行列理論,optimize,高,高,コスト最小化
ビジネス最適化,BIZ-002,ドライバーシフト最適化,ドライバーのシフト最適化,シフトスケジューリング,optimize,中,中,労働法規制
ビジネス最適化,BIZ-003,収益最大化,サービスの価格と品質の最適バランス,収益管理(レベニューマネジメント),optimize,高,高,競合分析

