AI_ID,AI名称,モジュールID,モジュール名称,計算内容,ツール,入力ファイル,出力ファイル,連成先モジュール,推定工数(人時)
VF-AI-01,大気循環制御AI,VF-AI-01-M1,基礎方程式導出,Navier-Stokes回転成分の記号導出,Maxima,,VF-AI-01-M1_eq.txt,VF-AI-01-M2,VF-AI-01-M3,4
VF-AI-01,大気循環制御AI,VF-AI-01-M2,熱上昇流トルク理論式,Boussinesq近似によるトルク平衡式導出,Maxima,VF-AI-01-M1_eq.txt,VF-AI-01-M2_torque.txt,VF-AI-01-M4,3
VF-AI-01,大気循環制御AI,VF-AI-01-M3,初期条件生成,球面調和関数による全球風速場初期化,Python,,VF-AI-01-M3_init.npy,VF-AI-01-M4,5
VF-AI-01,大気循環制御AI,VF-AI-01-M4,3D大気循環シミュレーション,有限差分法による全球風速・温度場計算,Python,VF-AI-01-M2_torque.txt;VF-AI-01-M3_init.npy,VF-AI-01-M4_results.nc,VF-AI-01-M5;VF-AI-01-M6,20
VF-AI-01,大気循環制御AI,VF-AI-01-M5,拠点配置最適化,風速抑制効果評価による865拠点配置最適化,Python,VF-AI-01-M4_results.nc,VF-AI-01-M5_placement.csv,VF-AI-01-M7,15
VF-AI-01,大気循環制御AI,VF-AI-01-M6,制御則理論導出,PIDゲインの理論計算（安定性判別）,Maxima,VF-AI-01-M4_results.nc,VF-AI-01-M6_gains.txt,VF-AI-01-M7,6
VF-AI-01,大気循環制御AI,VF-AI-01-M7,制御シミュレーション,フィードバックループによるリアルタイム制御評価,Python,VF-AI-01-M5_placement.csv;VF-AI-01-M6_gains.txt,VF-AI-01-M7_control.png,,12
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M1,増殖微分方程式,ロジスティック成長モデルの一般解導出,Maxima,,VF-AI-02-M1_eq.txt,VF-AI-02-M3,3
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M2,信頼性関数,故障率を考慮した信頼性モデル導出,Maxima,,VF-AI-02-M2_reliability.txt,VF-AI-02-M4,4
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M3,増殖シミュレーション,マルチエージェントによる拠点増殖シミュ,Python,VF-AI-02-M1_eq.txt,VF-AI-02-M3_growth.csv,VF-AI-02-M5,18
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M4,故障予測モデル,メンテナンス需要予測の確率モデル,Python,VF-AI-02-M2_reliability.txt,VF-AI-02-M4_failure.csv,VF-AI-02-M5,12
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M5,資源配分最適化,動的計画法による資材輸送ルート最適化,Python,VF-AI-02-M3_growth.csv;VF-AI-02-M4_failure.csv,VF-AI-02-M5_routes.csv,VF-AI-02-M6,15
VF-AI-02,自己複製拠点ネットワークAI,VF-AI-02-M6,ネットワーク安定化,増殖率安定化制御アルゴリズム,Python,VF-AI-02-M5_routes.csv,VF-AI-02-M6_stability.png,,10
VF-AI-03,惑星間エネルギー送受信AI,VF-AI-03-M1,回折積分理論,Fresnel-Kirchhoff回折積分の記号展開,Maxima,,VF-AI-03-M1_diffraction.txt,VF-AI-03-M3,5
VF-AI-03,惑星間エネルギー送受信AI,VF-AI-03-M2,大気透過率関数,波長依存の透過率・散乱損失関数導出,Maxima,,VF-AI-03-M2_transmission.txt,VF-AI-03-M3,4
VF-AI-03,惑星間エネルギー送受信AI,VF-AI-03-M3,ビーム伝播シミュレーション,モンテカルロ法によるビーム広がり評価,Python,VF-AI-03-M1_diffraction.txt;VF-AI-03-M2_transmission.txt,VF-AI-03-M3_beam.nc,VF-AI-03-M4,16
VF-AI-03,惑星間エネルギー送受信AI,VF-AI-03-M4,受電効率最適化,能動冷却設計を含む受電アレイ最適化,Python,VF-AI-03-M3_beam.nc,VF-AI-03-M4_efficiency.csv,VF-AI-03-M5,14
VF-AI-03,惑星間エネルギー送受信AI,VF-AI-03-M5,同期制御アルゴリズム,送受信間の位相同期・追尾制御,Python,VF-AI-03-M4_efficiency.csv,VF-AI-03-M5_sync.png,,8
VF-AI-04,化学プロセス最適化AI,VF-AI-04-M1,熱力学平衡計算,Gibbs自由エネルギー変化の温度依存式,Maxima,,VF-AI-04-M1_gibbs.txt,VF-AI-04-M3,4
VF-AI-04,化学プロセス最適化AI,VF-AI-04-M2,反応速度論,アレニウスプロット・触媒活性理論式,Maxima,,VF-AI-04-M2_kinetics.txt,VF-AI-04-M4,5
VF-AI-04,化学プロセス最適化AI,VF-AI-04-M3,全球化学収支シミュ,硫酸還元・水生成の時系列シミュレーション,Python,VF-AI-04-M1_gibbs.txt,VF-AI-04-M3_balance.csv,VF-AI-04-M5,20
VF-AI-04,化学プロセス最適化AI,VF-AI-04-M4,反応器ネットワーク最適化,線形計画法による反応器配置最適化,Python,VF-AI-04-M2_kinetics.txt,VF-AI-04-M4_network.csv,VF-AI-04-M5,15
VF-AI-04,化学プロセス最適化AI,VF-AI-04-M5,プロセス適応制御,環境組成変化へのパラメータ自動調整,Python,VF-AI-04-M3_balance.csv;VF-AI-04-M4_network.csv,VF-AI-04-M5_control.png,,12
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M1,相対論的ロケット方程式,Tsiolkovsky拡張の記号導出,Maxima,,IS-AI-01-M1_rocket.txt,IS-AI-01-M3,5
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M2,重力アシスト理論,エネルギー増幅係数の理論式導出,Maxima,,IS-AI-01-M2_gravity.txt,IS-AI-01-M4,4
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M3,航路最適化,ポントリャーギン最大原理による最適制御,Python,IS-AI-01-M1_rocket.txt,IS-AI-01-M3_trajectory.csv,IS-AI-01-M5,25
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M4,重力アシストシミュ,天体近傍通過の軌道計算,Python,IS-AI-01-M2_gravity.txt,IS-AI-01-M4_flyby.csv,IS-AI-01-M5,18
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M5,衝突確率評価,小惑星帯通過のモンテカルロ評価,Python,IS-AI-01-M3_trajectory.csv;IS-AI-01-M4_flyby.csv,IS-AI-01-M5_collision.csv,IS-AI-01-M6,20
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M6,精密誘導アルゴリズム,到着目標への最終接近制御,Python,IS-AI-01-M5_collision.csv,IS-AI-01-M6_guidance.png,IS-AI-01-M7,15
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M7,航路検証シミュ,全フェーズ統合シミュレーション,Python,IS-AI-01-M6_guidance.png,IS-AI-01-M7_verification.nc,IS-AI-01-M8,22
IS-AI-01,航路計画・軌道力学AI,IS-AI-01-M8,燃料最適化,燃料消費の動的最適化,Python,IS-AI-01-M7_verification.nc,IS-AI-01-M8_fuel.png,,12
IS-AI-02,星間資源ハックAI,IS-AI-02-M1,分光逆解析理論,Saha-Boltzmann方程式の導出,Maxima,,IS-AI-02-M1_spectra.txt,IS-AI-02-M3,6
IS-AI-02,星間資源ハックAI,IS-AI-02-M2,採掘エネルギーコスト,最小エネルギー条件の理論導出,Maxima,,IS-AI-02-M2_energy.txt,IS-AI-02-M4,4
