Task ID, 計算テーマ（開発ログ）, ツール, 物理コア/結合バトン, ステータス
C001, プロキシマ・ケンタウリ恒星フレア周期と遮蔽確率, Python, フレア頻度モデル（M5.5V型星）/ マイクロスロート開口部ダメージ率, Done
C002, プロキシマb表面重力下での自己複製ロボット歩行安定性, Python, 0.4G環境/ 脚式vsクローラー式 エネルギー効率比較, Done
C003, マイクロスロート経由の情報転送帯域上限（AR解像度制約）, Maxima, プランク長スケール量子チャネル容量/ 人間視覚野の情報処理速度, Done
C004, 恒星間レーザー動力網（プロキシマ→αケンA）の収束効率, Python, 1.3AU先の連星へのビーム拡散/ 受光サイトの最小サイズ, Done
C005, プロキシマb大気組成とAR透過率（可視光・赤外線）, Python, 大気モデル（N2, CO2, H2O）/ ARホログラムの色再現性補正, Done
C006, PhysicalAI自律判断における人間承認プロセスのタイムラグ, Python, 4.2光年RTT / 人間のAR操作からAI実行動作までの遅延モデル, Done
C007, マイクロスロート物質転送時のエネルギー換算（原子一個あたり）, Maxima, トンネルコスト/ プロキシマ側での再物質化エネルギー, Done
C008, 連星系（αCen A, B, Prox）間重力エネルギー回収ネットワーク, Maxima, 潮汐力による軌道エネルギー/ ダイソン・スウォーム部分群配置, Done
C009, プロキシマb地下氷資源採掘と推進剤変換効率, Python, 水氷→水素+酸素/ 自己複製ロボットの燃料自給率, Done
C010, 人間ARアバターの物理的インタラクション限界（触覚フィードバック）, Python, 力覚再現のためのマイクロスロート応答速度/ 人間の知覚閾値, Done
C011, プロキシマb表面での太陽電池効率（恒星フレア下）, Python, M型星スペクトル/ フレア時の紫外線増加とセル劣化, Done
C012, マイクロスロート多地点同時開口の干渉制御, Maxima, 量子もつれチャネル多重化/ 開口位置の最適配置, Done
C013, PhysicalAIの自己進化リスク評価（人間制御可能性）, Python, AIの自己書き換え速度/ 人間による緊急停止信号の到達時間, Done
C014, プロキシマb軌道上での重力レンズ通信中継局設計, Python, 恒星重力による光路曲げ/ 中継遅延最小化, Done
C015, 人間社会のAR内経済モデル（物資不足のない仮想経済）, Python, 資源無限（AIが現地生産）/ 人間の欲求と希少性の代替, Done
C016, 連星系全体のダイソン化進捗率シミュレーション, Python, 自己複製ロボットの指数関数的増加/ エネルギー収穫率の時間発展, Done
C017, マイクロスロート経由の生体物質転送可否（DNA情報転送）, Maxima, 量子状態の完全転送/ デコヒーレンスによる情報損失率, Done
C018, プロキシマbの潮汐ロック状態と居住可能領域マッピング, Python, 恒星側/反恒星側の温度勾配/ 地下居住適地, Done
C019, PhysicalAIの「倫理バトン」実装と人間による最終判断権, Python, 人間のAR投票システム/ AIの行動制限ルール, Done
C020, 物語の締めくくり：連星系の全エネルギーを掌握した後の人間の役割, Python, ポスト・シンギュラリティ社会/ 人間は「観客」か「神」か, Done

